,silhouette,davies_bouldin,calinski_harabasz,n_clusters,noise_ratio,status
dbscan_eps0.8_min5,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps0.8_min10,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps0.8_min15,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps0.8_min20,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps1.0_min5,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps1.0_min10,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps1.0_min15,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps1.0_min20,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps1.2_min5,-1.0,inf,0.0,2,0.9950892857142857,rejected_too_much_noise
dbscan_eps1.2_min10,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps1.2_min15,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps1.2_min20,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps1.5_min5,-1.0,inf,0.0,4,0.9834821428571429,rejected_too_much_noise
dbscan_eps1.5_min10,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps1.5_min15,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps1.5_min20,-1.0,inf,0.0,0,1.0,rejected_too_few_clusters
dbscan_eps2.0_min5,0.04228606374294855,1.3639441401849206,23.154163845884472,9,0.8486607142857143,evaluated
dbscan_eps2.0_min10,0.21236105189927554,1.2878858744016861,18.649673618417044,2,0.9151785714285714,evaluated
dbscan_eps2.0_min15,-1.0,inf,0.0,1,0.9383928571428571,rejected_too_few_clusters
dbscan_eps2.0_min20,-1.0,inf,0.0,1,0.9526785714285714,rejected_too_few_clusters
dbscan_eps2.5_min5,0.009453645705972246,1.2119740140716329,13.178606623613494,9,0.615625,evaluated
dbscan_eps2.5_min10,0.03590611034257512,1.58109773080269,20.749140773663456,7,0.6950892857142857,evaluated
dbscan_eps2.5_min15,-1.0,inf,0.0,1,0.7504464285714286,rejected_too_few_clusters
dbscan_eps2.5_min20,-1.0,inf,0.0,1,0.7727678571428571,rejected_too_few_clusters
dbscan_eps3.0_min5,0.09636398543052475,1.2949239029984485,22.98668653317389,5,0.4236607142857143,evaluated
dbscan_eps3.0_min10,0.09526403461106285,1.483062816753034,14.152388938797506,5,0.48348214285714286,evaluated
dbscan_eps3.0_min15,-1.0,inf,0.0,1,0.5209821428571428,rejected_too_few_clusters
dbscan_eps3.0_min20,-1.0,inf,0.0,1,0.5504464285714286,rejected_too_few_clusters
